on,0,0,1,1,1,1,1,0,0,14
the,0,0,1,1,1,1,1,0,1,14
sixth,0,0,1,1,1,1,1,1,0,13
day,0,0,1,1,1,1,1,1,1,14
of,0,1,0,0,0,0,0,0,0,14
christmas,0,1,0,0,0,0,0,0,1,14
my,0,1,0,0,0,0,0,1,0,14
true,0,1,0,0,0,0,0,1,1,14
love,0,1,0,0,0,0,1,0,0,14
gave,0,1,0,0,0,0,1,0,1,14
to,0,1,0,0,0,0,1,1,0,14
me,0,1,0,0,0,0,1,1,1,14
six,0,1,0,0,0,1,0,0,0,13
geese,0,1,0,0,0,1,0,0,1,6
a-laying,0,1,0,0,0,1,0,1,0,6
five,0,1,0,0,0,1,0,1,1,13
gold,0,1,0,0,0,1,1,0,0,5
rings,0,1,0,0,0,1,1,0,1,5
four,0,1,0,0,0,1,1,1,0,13
calling,0,1,0,0,0,1,1,1,1,4
birds,0,1,0,0,1,0,0,0,0,4
three,0,1,0,0,1,0,0,0,1,13
french,0,1,0,0,1,0,0,1,0,3
hens,0,1,0,0,1,0,0,1,1,3
two,0,1,0,0,1,0,1,0,0,13
turtle,0,1,0,0,1,0,1,0,1,2
doves,0,1,0,0,1,0,1,1,0,2
and,0,1,0,0,1,0,1,1,1,14
a,0,1,0,0,1,1,0,0,0,14
partridge,0,1,0,0,1,1,0,0,1,1
in,0,1,0,0,1,1,0,1,0,14
a,0,1,0,0,1,1,0,1,1,14
pear,0,1,0,0,1,1,1,0,0,1
tree,0,1,0,0,1,1,1,0,1,1
on,0,1,0,0,1,1,1,1,0,14
the,0,1,0,0,1,1,1,1,1,14
seventh,0,1,0,1,0,0,0,0,0,13
day,0,1,0,1,0,0,0,0,1,14
of,0,1,0,1,0,0,0,1,0,14
christmas,0,1,0,1,0,0,0,1,1,14
my,0,1,0,1,0,0,1,0,0,14
true,0,1,0,1,0,0,1,0,1,14
love,0,1,0,1,0,0,1,1,0,14
gave,0,1,0,1,0,0,1,1,1,14
to,0,1,0,1,0,1,0,0,0,14
me,0,1,0,1,0,1,0,0,1,14
seven,0,1,0,1,0,1,0,1,0,13
swans,0,1,0,1,0,1,0,1,1,7
a-swimming,0,1,0,1,0,1,1,0,0,7
six,0,1,0,1,0,1,1,0,1,13
geese,0,1,0,1,0,1,1,1,0,6
a-laying,0,1,0,1,0,1,1,1,1,6
five,0,1,0,1,1,0,0,0,0,13
gold,0,1,0,1,1,0,0,0,1,5
rings,0,1,0,1,1,0,0,1,0,5
four,0,1,0,1,1,0,0,1,1,13
calling,0,1,0,1,1,0,1,0,0,4
birds,0,1,0,1,1,0,1,0,1,4
three,0,1,0,1,1,0,1,1,0,13
french,0,1,0,1,1,0,1,1,1,3
hens,0,1,0,1,1,1,0,0,0,3
two,0,1,0,1,1,1,0,0,1,13
turtle,0,1,0,1,1,1,0,1,0,2
doves,0,1,0,1,1,1,0,1,1,2
and,0,1,0,1,1,1,1,0,0,14
a,0,1,0,1,1,1,1,0,1,14
partridge,0,1,0,1,1,1,1,1,0,1
in,0,1,0,1,1,1,1,1,1,14
a,0,1,1,0,0,0,0,0,0,14
pear,0,1,1,0,0,0,0,0,1,1
tree,0,1,1,0,0,0,0,1,0,1
on,0,1,1,0,0,0,0,1,1,14
the,0,1,1,0,0,0,1,0,0,14
eighth,0,1,1,0,0,0,1,0,1,13
day,0,1,1,0,0,0,1,1,0,14
of,0,1,1,0,0,0,1,1,1,14
christmas,0,1,1,0,0,1,0,0,0,14
my,0,1,1,0,0,1,0,0,1,14
true,0,1,1,0,0,1,0,1,0,14
love,0,1,1,0,0,1,0,1,1,14
gave,0,1,1,0,0,1,1,0,0,14
to,0,1,1,0,0,1,1,0,1,14
me,0,1,1,0,0,1,1,1,0,14
eight,0,1,1,0,0,1,1,1,1,13
maids,0,1,1,0,1,0,0,0,0,8
a-milking,0,1,1,0,1,0,0,0,1,8
